,code_circo,estimation,participation,candidat_1,candidat_1_parti,candidat_1_score,candidat_2,candidat_2_parti,candidat_2_score,candidat_3,candidat_3_parti,candidat_3_score,second_tour,NFP_vs_RN,diff_vote,swing_circo
355,069-07,False,61.14,Abdelkader LAHMAR / NFP / La France insoumise,NFP,46.0,Alexandre VINCENDET / ENS / Horizons,ENS,27.05,Cédric PIGNAL / EXD / Rassemblement national,EXD,21.28,True,False,18.95,
356,069-08,False,74.16,Jonathan GERY / EXD / Rassemblement national,EXD,33.46,Anne REYMBAUT / NFP / Parti socialiste,NFP,22.75,,,,True,True,10.71,
357,069-09,False,71.69,Patrick LOUIS / EXD / Rassemblement national,EXD,35.41,Alexandre PORTIER / LR / Les Républicains,LR,25.41,Jean-Henri SOUMIREU-LARTIGUE / NFP / Parti socialiste,NFP,23.25,True,False,9.999999999999996,
358,069-10,False,75.65,Thomas GASSILLOUD / ENS / Renaissance,ENS,32.54,Cecile PATOUT / EXD / Rassemblement national,EXD,31.15,Florence Janine Jacqueline PERRIN / NFP / Parti socialiste,NFP,23.64,True,False,1.3900000000000006,<2
359,069-11,False,71.86,Alexandre HUMBERT DUPALAIS / EXD / À droite ! Les amis d’Éric Ciotti,EXD,36.81,Jean-Luc FUGIT / ENS / Renaissance,ENS,26.93,Abdel YOUSFI / NFP / Parti communiste français,NFP,22.87,True,False,9.880000000000003,
360,069-12,False,73.66,Lucie GAILLOT DURAND / NFP / Les Écologistes,NFP,30.02,Cyrille ISAAC-SIBILLE / ENS / Modem,ENS,28.97,Clémence LUISIER / EXD / Rassemblement national,EXD,24.96,True,False,1.0500000000000007,<2
361,069-13,False,69.82,Tiffany JONCOUR / EXD / Rassemblement national,EXD,36.35,Victor PRANDT / NFP / La France insoumise,NFP,26.23,Sarah TANZILLI / ENS / Renaissance,ENS,24.21,True,True,10.120000000000001,
362,069-14,False,59.8,Idir BOUMERTIT / NFP / La France insoumise,NFP,48.78,Cédric MERMET / EXD / Rassemblement national,EXD,28.21,,,,True,True,20.57,
363,070-01,False,70.75,Antoine VILLEDIEU / EXD / Rassemblement national,EXD,48.82,Alain CHRETIEN / ENS / Horizons,ENS,29.99,,,,True,False,18.830000000000002,
364,070-02,False,70.24,Emeric SALMON / EXD / Rassemblement national,EXD,50.11,,,,,,,False,False,,
365,071-01,False,69.33,Rachel DREVET / EXD / Rassemblement national,EXD,34.65,Benjamin DIRX / ENS / Renaissance,ENS,30.6,Jean-Luc DELPEUCH / NFP / Les Écologistes,NFP,27.59,True,False,4.049999999999997,<5
366,071-02,False,69.92,Olivier DAMIEN / EXD / Rassemblement national,EXD,37.85,Josiane CORNELOUP / LR / Les Républicains,LR,33.58,,,,True,False,4.270000000000003,<5
367,071-03,False,69.43,Aurélien DUTREMBLE / EXD / Rassemblement national,EXD,42.67,Rémy REBEYROTTE / ENS / Renaissance,ENS,25.1,Richard BENINGER / NFP / La France insoumise,NFP,19.14,True,False,17.57,
368,071-04,False,68.54,Eric MICHOUX / EXD / À droite ! Les amis d’Éric Ciotti,EXD,44.34,Cécile UNTERMAIER / NFP / Parti socialiste,NFP,29.96,Anthony VADOT / LR / Les Républicains,LR,22.33,True,True,14.380000000000003,
369,071-05,False,67.38,Arnaud SANVERT / EXD / Rassemblement national,EXD,35.12,Fatima KOURICHE / NFP / La France insoumise,NFP,23.28,,,,True,True,11.839999999999996,
370,072-01,False,68.64,Céline DE COSSÉ BRISSAC / EXD / Rassemblement national,EXD,33.6,Julie DELPECH / ENS / Renaissance,ENS,30.84,Ghislaine BONNET / NFP / La France insoumise,NFP,25.01,True,False,2.7600000000000016,<5
371,072-02,False,64.04,Marietta KARAMANLI / NFP / Parti socialiste,NFP,39.95,François FEVRE / EXD / À droite ! Les amis d’Éric Ciotti,EXD,35.29,"Samuel CHEVALLIER / Union de la droite, du centre et des indépendants",,23.09,True,True,4.660000000000004,<5
372,072-03,False,66.98,Romain LEMOIGNE / EXD / Rassemblement national,EXD,42.54,Eric MARTINEAU / ENS / Modem,ENS,29.17,,,,True,False,13.369999999999997,
373,072-04,False,66.48,Marie-Caroline LE PEN / EXD / Rassemblement national,EXD,39.26,Elise LEBOUCHER / NFP / La France insoumise,NFP,25.94,Sylvie CASENAVE-PÉRÉ / ENS / Renaissance,ENS,25.88,True,True,13.319999999999997,
374,072-05,False,67.15,Pierre VAUGARNY / EXD / Rassemblement national,EXD,38.23,Jean-Carles GRELIER / ENS / Renaissance,ENS,31.28,Christophe ROUILLON / NFP / Parti socialiste,NFP,26.67,True,False,6.949999999999996,
375,073-01,False,72.32,Typhanie DEGOIS / EXD / À droite ! Les amis d’Éric Ciotti,EXD,36.16,Marina FERRARI / ENS / Modem,ENS,35.24,Christel GRANATA / NFP / Parti communiste français,NFP,22.93,True,False,0.9199999999999946,<1
376,073-02,False,68.23,Vincent ROLLAND / LR / Les Républicains,LR,36.84,Pauline RACT-BRANCAZ / EXD / Rassemblement national,EXD,35.19,Pascale MARTINOT / NFP / Parti socialiste,NFP,22.97,True,False,1.6500000000000057,<2
377,073-03,False,72.47,Emilie BONNIVARD / LR / Les Républicains,LR,40.86,Marie DAUCHY / EXD / Rassemblement national,EXD,35.98,Daniel IBANEZ / NFP / La France insoumise,NFP,21.81,True,False,4.880000000000003,<5
